Parameter,Paper,FSRLearning,UCI documentation,Our current implementation,Confidence
alpha,"Only constrained as a constant between 0 and 1; no value reported.","Default 0.5 in FeatureSelectorRL; passed into update_v_value.","Not applicable; UCI documents datasets, not the RL algorithm.","No RL implementation; config placeholder is null.",Partially specified
gamma,"Only constrained as a constant between 0 and 1; no value reported.","Default 0.70 in FeatureSelectorRL; update_v_value uses it as the discount factor.","Not applicable; UCI documents datasets, not the RL algorithm.","No RL implementation; config placeholder is null.",Partially specified
epsilon,"Exploration/exploitation is described and different epsilon values are investigated, but exact values are not stated in the paper text.","Default eps=0.1; example explicitly uses eps=0.2; np.random.binomial selects random action with probability eps.","Not applicable; UCI documents datasets, not the RL algorithm.","No RL implementation; config placeholder is null.",Partially specified
number of episodes/iterations,"The paper discusses iterations/episodes and shows a maximum around the 50th episode, but does not state a complete run count or fixed parameter.","Default nb_iter=100; README example uses nb_iter=200; fit_predict loops range(nb_iter).","Not applicable; UCI documents datasets, not the RL algorithm.","No RL implementation; config placeholder is null.",Partially specified
initial state,"Each episode is initialized with random state selection; no distribution or seed is specified.","Default starting_state='empty'; optional 'random' starts from a previously recorded random state when available.","Not applicable; UCI documents datasets, not the RL algorithm.","Episode scaffold defaults to empty FeatureSubsetState; policy is unimplemented.",Partially specified
state transition,"An action selects an unseen feature and transitions by adding it to the current subset.","Neighbors add exactly one feature not already in the state; state equality is set-based.","Not applicable; UCI documents datasets, not the RL algorithm.","FeatureSubsetState.add adds one feature; available_actions excludes selected indices.",Exact
stopping condition,"Terminal state is reached when all features are included; paper also mentions a stopping condition without specifying an alternative criterion.","Stops at all features or after a worsen-based condition; worsen patience is round(sqrt(feature_number)).","Not applicable; UCI documents datasets, not the RL algorithm.","Episode.terminate exists, but no policy or stopping rule is implemented.",Partially specified
SVM kernel,"Gaussian SVM is stated as the reward/evaluation classifier; exact library/kernel parameters are not reported.","Default reward classifier is RandomForestClassifier, not SVM; caller may provide another classifier.","UCI does not prescribe a classifier.","Baseline uses sklearn SVC(kernel='rbf'); this is a project assumption, not a paper setting.",Partially specified
SVM C,"Not specified in paper.","Not applicable to the default RandomForestClassifier; no SVM C found.","UCI does not prescribe hyperparameters.","Baseline uses C=1.0 as a project assumption.",Not specified
SVM gamma,"Not specified in paper; paper's Gaussian wording does not provide a numeric SVM gamma.","Not applicable to the default RandomForestClassifier; no SVM gamma found.","UCI does not prescribe hyperparameters.","Baseline uses gamma='scale' as a project assumption.",Not specified
feature scaling,"Not specified in paper.","README/example passes a pandas DataFrame; no scaling step is documented in the inspected implementation.","UCI reports native variable types/ranges but does not prescribe scaling.","No scaling, normalization, or encoding is applied by the baseline.",Not specified
train/test split,"Not specified in paper; the paper says accuracy is used but does not define a holdout or CV protocol.","Reward uses cross_val_score with cv=5 by default, or cv=min class count for very small classes; no train/test split.","UCI supplies observations but no evaluation split.","Baseline uses stratified 80/20 train_test_split with random_state=42.",Not specified
random seed,"Not specified in paper.","No seed parameter or explicit seeding found; uses NumPy random choice/binomial.","UCI does not define a seed.","Baseline split uses random_state=42; RL seed remains unresolved.",Not specified
reward calculation,"Reward is accuracy(next state) minus accuracy(current state).","State.get_reward stores a state's CV balanced accuracy; TD update uses next_state.reward - current_state.reward, so the implementation operationalizes the difference between state scores.","UCI defines labels/targets but not reward calculation.","accuracy_difference returns accuracy(next_state)-accuracy(current_state); no RL execution yet.",Exact
AOR calculation,"AOR is the average of feature rewards; equation (6) gives an incremental mean, though the prose/equation around state-value differences is not fully unambiguous.","Two-row table: selection count and mean; new=((k-1)*old+current_state.v_value)/k.","UCI does not define AOR.","AverageReward tracks a global arithmetic mean; feature-indexed AOR is not implemented.",Partially specified
