dataset,section,item,value,details
Australian Credit Approval,dataset,rows,690,
Australian Credit Approval,dataset,columns,15,
Australian Credit Approval,dataset,feature_count,14,
Australian Credit Approval,dataset,target_column,target,
Australian Credit Approval,dataset,metadata_columns,None,
Australian Credit Approval,dataset,duplicate_rows,0,
Australian Credit Approval,dataset,missing_values_total,0,
Australian Credit Approval,column_role,feature_1,feature,
Australian Credit Approval,data_type,feature_1,int64,
Australian Credit Approval,missing_values,feature_1,0,
Australian Credit Approval,numeric_range,feature_1,0,role=feature; minimum
Australian Credit Approval,numeric_range,feature_1,1,role=feature; maximum
Australian Credit Approval,column_role,feature_2,feature,
Australian Credit Approval,data_type,feature_2,float64,
Australian Credit Approval,missing_values,feature_2,0,
Australian Credit Approval,numeric_range,feature_2,13.75,role=feature; minimum
Australian Credit Approval,numeric_range,feature_2,80.25,role=feature; maximum
Australian Credit Approval,column_role,feature_3,feature,
Australian Credit Approval,data_type,feature_3,float64,
Australian Credit Approval,missing_values,feature_3,0,
Australian Credit Approval,numeric_range,feature_3,0.0,role=feature; minimum
Australian Credit Approval,numeric_range,feature_3,28.0,role=feature; maximum
Australian Credit Approval,column_role,feature_4,feature,
Australian Credit Approval,data_type,feature_4,int64,
Australian Credit Approval,missing_values,feature_4,0,
Australian Credit Approval,numeric_range,feature_4,1,role=feature; minimum
Australian Credit Approval,numeric_range,feature_4,3,role=feature; maximum
Australian Credit Approval,column_role,feature_5,feature,
Australian Credit Approval,data_type,feature_5,int64,
Australian Credit Approval,missing_values,feature_5,0,
Australian Credit Approval,numeric_range,feature_5,1,role=feature; minimum
Australian Credit Approval,numeric_range,feature_5,14,role=feature; maximum
Australian Credit Approval,column_role,feature_6,feature,
Australian Credit Approval,data_type,feature_6,int64,
Australian Credit Approval,missing_values,feature_6,0,
Australian Credit Approval,numeric_range,feature_6,1,role=feature; minimum
Australian Credit Approval,numeric_range,feature_6,9,role=feature; maximum
Australian Credit Approval,column_role,feature_7,feature,
Australian Credit Approval,data_type,feature_7,float64,
Australian Credit Approval,missing_values,feature_7,0,
Australian Credit Approval,numeric_range,feature_7,0.0,role=feature; minimum
Australian Credit Approval,numeric_range,feature_7,28.5,role=feature; maximum
Australian Credit Approval,column_role,feature_8,feature,
Australian Credit Approval,data_type,feature_8,int64,
Australian Credit Approval,missing_values,feature_8,0,
Australian Credit Approval,numeric_range,feature_8,0,role=feature; minimum
Australian Credit Approval,numeric_range,feature_8,1,role=feature; maximum
Australian Credit Approval,column_role,feature_9,feature,
Australian Credit Approval,data_type,feature_9,int64,
Australian Credit Approval,missing_values,feature_9,0,
Australian Credit Approval,numeric_range,feature_9,0,role=feature; minimum
Australian Credit Approval,numeric_range,feature_9,1,role=feature; maximum
Australian Credit Approval,column_role,feature_10,feature,
Australian Credit Approval,data_type,feature_10,int64,
Australian Credit Approval,missing_values,feature_10,0,
Australian Credit Approval,numeric_range,feature_10,0,role=feature; minimum
Australian Credit Approval,numeric_range,feature_10,67,role=feature; maximum
Australian Credit Approval,column_role,feature_11,feature,
Australian Credit Approval,data_type,feature_11,int64,
Australian Credit Approval,missing_values,feature_11,0,
Australian Credit Approval,numeric_range,feature_11,0,role=feature; minimum
Australian Credit Approval,numeric_range,feature_11,1,role=feature; maximum
Australian Credit Approval,column_role,feature_12,feature,
Australian Credit Approval,data_type,feature_12,int64,
Australian Credit Approval,missing_values,feature_12,0,
Australian Credit Approval,numeric_range,feature_12,1,role=feature; minimum
Australian Credit Approval,numeric_range,feature_12,3,role=feature; maximum
Australian Credit Approval,column_role,feature_13,feature,
Australian Credit Approval,data_type,feature_13,int64,
Australian Credit Approval,missing_values,feature_13,0,
Australian Credit Approval,numeric_range,feature_13,0,role=feature; minimum
Australian Credit Approval,numeric_range,feature_13,2000,role=feature; maximum
Australian Credit Approval,column_role,feature_14,feature,
Australian Credit Approval,data_type,feature_14,int64,
Australian Credit Approval,missing_values,feature_14,0,
Australian Credit Approval,numeric_range,feature_14,1,role=feature; minimum
Australian Credit Approval,numeric_range,feature_14,100001,role=feature; maximum
Australian Credit Approval,column_role,target,target,
Australian Credit Approval,data_type,target,int64,
Australian Credit Approval,missing_values,target,0,
Australian Credit Approval,numeric_range,target,0,role=target; minimum
Australian Credit Approval,numeric_range,target,1,role=target; maximum
Australian Credit Approval,class_distribution,0,383,target values
Australian Credit Approval,class_distribution,1,307,target values
Wisconsin Breast Cancer Prognostic (WPBC),dataset,rows,198,
Wisconsin Breast Cancer Prognostic (WPBC),dataset,columns,35,
Wisconsin Breast Cancer Prognostic (WPBC),dataset,feature_count,32,
Wisconsin Breast Cancer Prognostic (WPBC),dataset,target_column,target,
Wisconsin Breast Cancer Prognostic (WPBC),dataset,metadata_columns,"identifier, time",
Wisconsin Breast Cancer Prognostic (WPBC),dataset,duplicate_rows,0,
Wisconsin Breast Cancer Prognostic (WPBC),dataset,missing_values_total,4,
Wisconsin Breast Cancer Prognostic (WPBC),column_role,identifier,metadata,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,identifier,str,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,identifier,0,
Wisconsin Breast Cancer Prognostic (WPBC),column_role,target,target,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,target,str,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,target,0,
Wisconsin Breast Cancer Prognostic (WPBC),column_role,time,metadata,
Wisconsin Breast Cancer Prognostic (WPBC),data_type,time,int64,
Wisconsin Breast Cancer Prognostic (WPBC),missing_values,time,0,
Wisconsin Breast Cancer Prognostic (WPBC),numeric_range,time,1,role=metadata; minimum
